"name","symbol","trading_name","isin"
"Saudi Arabian Cooperative Insurance Co.","8100","SAICO","SA000A0MR823"
"Saudi Arabian Mining Co.","1211","MAADEN","SA123GA0ITH7"
"Saudi Arabian Oil Co.","2222","SAUDI ARAMCO","SA14TG012N13"
"Saudi Aramco Base Oil Co.","2223","LUBEREF","SA15M1HH2NH5"
"Saudi Automotive Services Co.","4050","SASCO","SA0007870070"
"Saudi Awwal Bank","1060","SAB","SA0007879089"
"Saudi Basic Industries Corp.","2010","SABIC","SA0007879121"
"Saudi Cable Co.","2110","SAUDI CABLE","SA0007879238"
"Saudi Cement Co.","3030","SAUDI CEMENT","SA0007879469"
"Saudi Ceramic Co.","2040","SAUDI CERAMICS","SA0007879154"
"Saudi Chemical Co.","2230","CHEMICAL","SA0007879402"
"Saudi Company for Hardware","4008","SACO","SA13Q051UK14"
"Saudi Electricity Co.","5110","SAUDI ELECTRICITY","SA0007879550"
"Saudi Enaya Cooperative Insurance Co.","8311","ENAYA","SA12U0541RH2"
"Saudi Fisheries Co.","6050","SFICO","SA0007879600"
"Saudi Ground Services Co.","4031","SGS","SA13R051UVH9"
"Saudi Industrial Development Co.","2130","SIDC","SA0007879253"
"Saudi Industrial Export Co.","4140","SIECO","SA0007879675"
"Saudi Industrial Investment Group","2250","SIIG","SA000A0B89Q3"
"Saudi Investment Bank","1030","SAIB","SA0007879063"
"Saudi Kayan Petrochemical Co.","2350","SAUDI KAYAN","SA000A0MQCJ2"
"Saudi Manpower Solutions Co.","1834","SMASCO","SA562G3GSL11"
"Saudi Marketing Co.","4006","FARM SUPERSTORES","SA13HG51UJ13"
"Saudi Paper Manufacturing Co.","2300","SPM","SA000A0JK4U9"
"Saudi Pharmaceutical Industries and Medical Appliances Corp.","2070","SPIMACO","SA0007879188"
"Saudi Printing and Packaging Co.","4270","SPPC","SA000A0MSX40"
"Saudi Public Transport Co.","4040","SAPTCO","SA0007870062"
"Saudi Real Estate Co.","4020","ALAKARIA","SA0007870047"
"Saudi Reinsurance Co.","8200","SAUDI RE","SA1210540419"
"Saudi Research and Media Group","4210","SRMG","SA000A0JK5M3"
"Saudi Steel Pipe Co.","1320","SSP","SA12B050KK11"
"Saudi Tadawul Group Holding Co.","1111","TADAWUL GROUP","SA15DHKGHBH4"
"Saudi Telecom Co.","7010","STC","SA0007879543"
"Saudi Vitrified Clay Pipes Co.","2360","SVCP","SA000A0MSQ64"
"Saudia Dairy and Foodstuff Co.","2270","SADAFCO","SA000A0EAXM3"
"Savola Group","2050","SAVOLA GROUP","SA0007879162"
"Scientific and Medical Equipment House Co.","4014","EQUIPMENT HOUSE","SA15GGQ1UN19"
"SEDCO Capital REIT Fund","4344","SEDCO CAPITAL REIT","SA14GG523S58"
"Seera Group Holding","1810","SEERA","SA132GSGS910"
"SHL Finance Co.","1183","SHL","SA15HG50IFH7"
"SICO Saudi REIT Fund","4337","SICO SAUDI REIT","SA14DG523OL4"
"Sinad Holding Co.","4080","SINAD HOLDING","SA0007870104"
"Southern Province Cement Co.","3050","SPCC","SA0007879501"
"Sumou Real Estate Co.","4323","SUMOU","SA15SGSI3HH9"
"Sustained Infrastructure Holding Co.","2190","SISCO HOLDING","SA0007879360"
"Tabuk Agricultural Development Co.","6040","TADCO","SA0007879592"
"Tabuk Cement Co.","3090","TCC","SA0007879535"
"Taiba Investments Co.","4090","TAIBA","SA0007879790"
"Takween Advanced Industries Co.","1201","TAKWEEN","SA130G50IOH8"
"Taleem REIT Fund","4333","TALEEM REIT","SA14AG523ML1"
"Tanmiah Food Co.","2281","TANMIAH","SA15BH1H3KH5"
"The Company for Cooperative Insurance","8010","TAWUNIYA","SA000A0DPSH3"
"The Mediterranean and Gulf Insurance and Reinsurance Co.","8030","MEDGULF","SA000A0MJ2H8"
"The National Company for Glass Industries","2150","ZOUJAJ","SA0007879329"
"The Power and Water Utility Company for Jubail and Yanbu","2083","MARAFIQ","SA15L0N10HH3"
"The Saudi National Bank","1180","SNB","SA13L050IE10"
"Theeb Rent a Car Co.","4261","THEEB","SA159GK22IH4"
"Thimar Development Holding Co.","4160","THIMAR","SA0007879816"
"Thob Al Aseel Co.","4012","ALASEEL","SA14TGL1UM17"
"Tihama Advertising and Public Relations Co.","4070","TAPRCO","SA0007870096"
"Tourism Enterprise Co.","4170","TECO","SA0007879824"
"Umm Al-Qura Cement Co.","3005","UACC","SA13I051EUH6"
"United Cooperative Assurance Co.","8190","UCA","SA121053VV10"
"United Electronics Co.","4003","EXTRA","SA12U0RHUHH8"
"United International Transportation Co.","4260","BUDGET SAUDI","SA000A0MWH44"
"United Wire Factories Co.","1301","ASLAK","SA12RGH0KAH5"
"Wafrah for Industry and Development Co.","2100","WAFRAH","SA0007879220"
"Walaa Cooperative Insurance Co.","8060","WALAA","SA000A0MLUD8"
"Wataniya Insurance Co.","8300","WATANIYA","SA12HG541M13"
"Yamama Cement Co.","3020","YC","SA0007879451"
"Yanbu Cement Co.","3060","YCC","SA0007879519"
"Yanbu National Petrochemical Co.","2290","YANSAB","SA000A0HNF36"
"Zahrat Al Waha for Trading Co.","3007","OASIS","SA14C0PHEVH7"
"Zamil Industrial Investment Co.","2240","ZAMIL INDUST","SA0007879410"
